image,gesture,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y
images/stephen_attention_001/frame_0000.jpg,0,0.45319062,0.6470516,-0.546706,0.6614304,0.69057596,1.4163235,-0.9998968,1.3588079,0.7481245,2.1999745,-1.388346,2.027427,0.33809474,2.4156587,-0.4028361,2.4084687
images/stephen_attention_001/frame_0001.jpg,0,0.436447,0.59772867,-0.56315726,0.62585723,0.6546705,1.37126,-0.99960446,1.2306179,0.7391444,2.137759,-1.429012,1.6947367,0.29565805,2.320594,-0.4012496,2.3065293
images/stephen_attention_001/frame_0002.jpg,0,0.4397047,0.6092053,-0.56027025,0.61628914,0.65246564,1.3813373,-1.0070678,1.2113271,0.7375698,2.1463861,-1.5673373,1.5371808,0.28368056,2.3659828,-0.41842997,2.3376484
images/stephen_attention_001/frame_0003.jpg,0,0.4551612,0.5922662,-0.544815,0.5991531,0.64136344,1.3291556,-1.0551472,1.0950038,0.7103275,2.0729318,-1.627547,1.2258533,0.27585497,2.2795362,-0.40688717,2.2588756
images/stephen_attention_001/frame_0004.jpg,0,0.44366184,0.6123143,-0.55633813,0.6123143,0.66901374,1.3653903,-1.2323947,1.0064473,0.71126765,2.1255043,-1.7746484,0.900876,0.27464774,2.343685,-0.40140867,2.2803423
images/stephen_attention_001/frame_0005.jpg,0,0.44995412,0.620692,-0.54994404,0.60642314,0.66421807,1.3698031,-1.2427307,0.8917989,0.7284972,2.1617205,-1.8998067,0.527945,0.26425853,2.3757522,-0.43566996,2.318677
images/stephen_attention_001/frame_0006.jpg,0,0.44294322,0.5712372,-0.55703425,0.56451666,0.6375697,1.2836035,-1.1946038,0.7190867,0.6979716,2.0026898,-1.7449268,0.23521526,0.25502768,2.258067,-0.4093866,2.2043028
images/stephen_attention_001/frame_0007.jpg,0,0.43620244,0.57678527,-0.5637076,0.5633717,0.6308156,1.30112,-1.1945237,0.62373286,0.69121313,2.0187483,-1.6911235,0.013413377,0.23487839,2.233366,-0.43620244,2.1998322
images/stephen_attention_001/frame_0008.jpg,0,0.38812384,0.566634,-0.6117894,0.55345654,0.5986322,1.2782207,-1.2235783,0.48097986,0.6578378,1.9832187,-1.6445947,-0.17130795,0.21708578,2.1611154,-0.4275948,2.1413488
images/stephen_attention_001/frame_0009.jpg,0,0.38298675,0.5881742,-0.61551535,0.5334602,0.6360318,1.34049,-1.2789036,0.34196162,0.6839051,2.0380926,-1.6413738,-0.32828337,0.21201038,2.2569475,-0.43769968,2.2432694
images/stephen_attention_001/frame_0010.jpg,0,0.3890976,0.5873306,-0.6075386,0.5053775,0.6075386,1.3180794,-1.2492087,0.2048825,0.68945396,2.048828,-1.5632176,-0.4370836,0.218441,2.2195632,-0.4505344,2.2195632
images/stephen_attention_001/frame_0011.jpg,0,0.39918688,0.60233027,-0.5952792,0.49727264,0.60928535,1.3377336,-1.2465843,0.14708059,0.7073317,2.0801404,-1.5757387,-0.567311,0.20309523,2.2832522,-0.46921992,2.2622404
