image,gesture,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y
images/stephen_crank_003/frame_0000.jpg,2,0.6307843,0.5419174,-0.36585486,0.623835,0.99663913,1.2917796,-0.66863126,1.279177,1.0155625,2.1046555,-1.3814175,1.1657523,0.58662915,2.3378062,-0.09461769,2.3504086
images/stephen_crank_003/frame_0001.jpg,2,0.6374275,0.5255924,-0.35620978,0.6382195,0.9811382,1.2639248,-0.61243045,1.276439,1.0186342,2.0523136,-1.312351,1.3577806,0.5936826,2.2775674,-0.08124067,2.2900815
images/stephen_crank_003/frame_0002.jpg,2,0.6490544,0.5024572,-0.3436171,0.6233013,1.0053983,1.2593232,-0.62996477,1.3229254,1.0181247,2.0479906,-1.342652,1.5773339,0.604512,2.2578773,-0.06363267,2.2960389
images/stephen_crank_003/frame_0003.jpg,2,0.6305149,0.5153028,-0.36029428,0.6505697,1.0036772,1.2624916,-0.64338267,1.3719935,1.0101106,2.0290043,-1.3511033,1.8164421,0.6112135,2.2737734,-0.083639964,2.2930968
images/stephen_crank_003/frame_0004.jpg,2,0.62974954,0.49889743,-0.36163807,0.6298581,0.96021146,1.1911172,-0.5923384,1.3283141,0.9664468,1.9269911,-1.2782037,2.0517154,0.5923384,2.12655,-0.081056796,2.170203
images/stephen_crank_003/frame_0005.jpg,2,0.6317784,0.47909635,-0.35736954,0.6260191,0.97000283,1.1945467,-0.5934888,1.3478575,0.9955291,1.9355488,-0.9955298,2.0505319,0.5934885,2.1655147,-0.051052883,2.1910667
images/stephen_crank_003/frame_0006.jpg,2,0.62047386,0.5043383,-0.36840618,0.6530537,0.9565637,1.2285168,-0.59462065,1.3707663,1.0018063,1.9720927,-0.85961473,2.2242622,0.59462047,2.166069,-0.06463266,2.230728
images/stephen_crank_003/frame_0007.jpg,2,0.6102299,0.49314094,-0.37652513,0.6553584,0.95429546,1.2263634,-0.5842629,1.3626262,1.0127219,1.9725634,-0.6816399,2.1542468,0.6037378,2.1542468,-0.04544286,2.193179
images/stephen_crank_003/frame_0008.jpg,2,0.6093373,0.5016908,-0.3816732,0.63547516,0.9642264,1.2508824,-0.62942594,1.4047345,1.0378824,2.0134528,-0.5155934,2.240886,0.6026416,2.220818,-0.060264364,2.3010888
images/stephen_crank_003/frame_0009.jpg,2,0.6128232,0.5051817,-0.37712207,0.64663255,0.9697421,1.2663223,-0.6330263,1.4212447,1.0438198,2.0341985,-0.51180845,2.2564788,0.6128232,2.2025926,-0.060609095,2.3171005
