image,gesture,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y
images/chris_speedup/frame_0000.jpg,7,0.47137773,0.6416978,-0.520141,0.51173353,0.6339219,1.421482,-1.2922256,0.690434,0.7314484,2.144407,-0.86148334,0.17870066,0.14628977,2.1687753,-0.47950515,2.1119163
images/chris_speedup/frame_0001.jpg,7,0.46417418,0.6426215,-0.52932,0.5287393,0.6270419,1.4235289,-1.2947991,0.72396624,0.7410497,2.1312256,-0.8387691,0.195227,0.16286853,2.2044365,-0.48860312,2.1474948
images/chris_speedup/frame_0002.jpg,7,0.47223863,0.6377362,-0.5219481,0.53006643,0.64622134,1.4494007,-1.342153,0.70399445,0.770495,2.1782413,-0.8699139,0.22362189,0.16569765,2.2030885,-0.4805241,2.1782413
images/chris_speedup/frame_0003.jpg,7,0.48482123,0.6400113,-0.5094734,0.53334266,0.6656016,1.4359232,-1.281901,0.6400113,0.780644,2.141577,-0.8546005,0.13948962,0.17256314,2.1579878,-0.46838713,2.1333718
images/chris_speedup/frame_0004.jpg,7,0.48127922,0.6287129,-0.513909,0.53073156,0.65258235,1.4125626,-1.2888509,0.53889656,0.77494144,2.1147606,-0.8646724,0.016330054,0.17945985,2.1800818,-0.4649658,2.1555862
images/chris_speedup/frame_0005.jpg,7,0.48387673,0.6397299,-0.5072893,0.5071031,0.6477696,1.3886822,-1.2096906,0.42128554,0.76483643,2.0674195,-0.8350766,-0.093618765,0.16389364,2.0830233,-0.4214404,2.0674195
images/chris_speedup/frame_0006.jpg,7,0.47284156,0.61558557,-0.52012664,0.49720398,0.6462169,1.3732296,-1.2136283,0.2999006,0.7801889,2.083521,-0.8826391,-0.23676383,0.17337501,2.1071973,-0.43343893,2.0756292
images/chris_speedup/frame_0007.jpg,7,0.47856295,0.61005735,-0.5094385,0.45561263,0.64065677,1.3591151,-1.1423764,0.18533398,0.7873128,2.0309503,-0.8645009,-0.3783898,0.19296896,2.054117,-0.4013753,2.038673
images/chris_speedup/frame_0008.jpg,7,0.4972985,0.62886256,-0.4896477,0.46781227,0.6579643,1.3650923,-1.086406,0.0996978,0.80332834,2.0322998,-0.87983596,-0.48315042,0.19891918,2.055307,-0.39018828,2.039969
images/chris_speedup/frame_0009.jpg,7,0.48877454,0.6365922,-0.4965324,0.4657993,0.65169936,1.3741075,-1.0551316,-0.015526577,0.7991073,2.0417528,-0.90772325,-0.6676454,0.20947514,2.119386,-0.41119084,2.065043
images/chris_speedup/frame_0010.jpg,7,0.48809,0.6133487,-0.49583718,0.434779,0.66628146,1.3509203,-0.9916748,-0.13975048,0.79798824,2.0263805,-0.9684325,-0.6676963,0.22467647,2.111783,-0.38737315,2.0496721
images/chris_speedup/frame_0011.jpg,7,0.5048989,0.62470454,-0.48085567,0.45651463,0.6892272,1.4095899,-0.92965484,-0.14416264,0.84149814,2.0823483,-1.0338405,-0.62470454,0.22439978,2.1304026,-0.40071315,2.122393
images/chris_speedup/frame_0012.jpg,7,0.51289994,0.63329,-0.4728285,0.46494684,0.6892087,1.4108742,-0.86551696,-0.0801635,0.8254472,2.0922627,-1.0418261,-0.61725765,0.24042173,2.14036,-0.3766598,2.1243277
images/chris_speedup/frame_0013.jpg,7,0.5206118,0.64374006,-0.46276665,0.4621725,0.71894044,1.4442884,-0.93379676,-0.18156755,0.85942334,2.154053,-1.0577519,-1.0398874,0.2313829,2.187065,-0.40492103,2.162306
images/chris_speedup/frame_0014.jpg,7,0.51550347,0.628462,-0.46717557,0.44314632,0.6927084,1.4100113,-0.9182416,-0.15308708,0.7974202,2.1190453,-1.0229534,-1.1038374,0.21747842,2.143217,-0.3946829,2.1190453
images/chris_speedup/frame_0015.jpg,7,0.49878561,0.6500055,-0.48295096,0.45975995,0.66504747,1.4109877,-0.9659015,-0.07926896,0.7679715,2.124408,-1.021322,-0.8085434,0.20584852,2.148189,-0.4116958,2.124408
images/chris_speedup/frame_0016.jpg,7,0.4836737,0.650655,-0.499532,0.46815407,0.65018475,1.4362019,-1.0307798,-0.015869644,0.7532621,2.1106615,-1.0228509,-0.73000336,0.18236901,2.1741402,-0.42024115,2.1106615
images/chris_speedup/frame_0017.jpg,7,0.48974374,0.6253925,-0.49764296,0.4670651,0.64772564,1.409112,-1.1058732,-0.015832702,0.7346156,2.1057513,-1.0031852,-0.6095596,0.18957843,2.121584,-0.41075298,2.1057513
images/chris_speedup/frame_0018.jpg,7,0.47575518,0.6422974,-0.5074728,0.45991653,0.6422701,1.4193978,-1.1418138,0.11894394,0.72156215,2.0934134,-0.991158,-0.5233534,0.18237254,2.1568508,-0.41232154,2.1013434
images/chris_speedup/frame_0019.jpg,7,0.4847462,0.6404053,-0.50038284,0.46858913,0.60984224,1.390148,-1.164954,0.18743569,0.71930116,2.0696025,-0.93039936,-0.46858913,0.17982529,2.1398911,-0.422198,2.0696025
images/chris_speedup/frame_0020.jpg,7,0.48148474,0.66588545,-0.50555843,0.5054308,0.61790526,1.4360662,-1.2277856,0.31288588,0.71420217,2.1500878,-0.9469199,-0.32893154,0.16851962,2.1661332,-0.4333361,2.1260202
images/chris_speedup/frame_0021.jpg,7,0.4660016,0.6678398,-0.5222433,0.5149609,0.6186571,1.4402815,-1.2774875,0.44254452,0.70703626,2.140306,-0.94003826,-0.16897145,0.16068976,2.1644454,-0.4499327,2.1242135
images/chris_speedup/frame_0022.jpg,7,0.47660843,0.6450759,-0.51699924,0.53218764,0.60585827,1.4191673,-1.2924978,0.5563782,0.7189517,2.1610043,-0.9289828,-0.048380658,0.16964023,2.1771312,-0.4604521,2.1610043
images/chris_speedup/frame_0023.jpg,7,0.46000788,0.62933683,-0.5326414,0.50831056,0.6133444,1.411974,-1.2751113,0.62933683,0.7263286,2.1462002,-0.90387654,0.08068445,0.16140631,2.1704054,-0.4600091,2.1462002
